Experience,Education,Department,Projects_Completed,Training_Hours,Performance_Score
7.0,Bachelor,Sales,28.0,35.0,112.83685127360997
4.0,PhD,Engineering,28.0,27.0,104.79126913076286
13.0,PhD,Engineering,24.0,23.0,113.13630704567284
11.0,Master,Sales,19.0,23.0,104.23990217030958
8.0,PhD,Engineering,22.0,75.0,104.02551081149828
,Bachelor,Sales,12.0,44.0,91.46281357046009
5.0,,Engineering,8.0,86.0,70.35334500840099
7.0,,Engineering,17.0,115.0,89.01586981303295
10.0,Bachelor,HR,24.0,86.0,103.62234727917826
3.0,PhD,HR,13.0,,80.57843472531742
7.0,PhD,Engineering,7.0,112.0,71.36344729161348
11.0,Master,Sales,3.0,51.0,82.75825735699912
11.0,PhD,HR,10.0,69.0,85.16513400559809
8.0,Bachelor,Engineering,23.0,80.0,102.8619832141968
5.0,,Sales,14.0,70.0,81.83207574381444
4.0,PhD,Sales,14.0,38.0,74.12010095854167
8.0,,HR,7.0,40.0,76.40055135254605
8.0,Bachelor,Sales,9.0,,81.16821765725298
3.0,,Engineering,6.0,101.0,64.67853656444751
6.0,,HR,8.0,111.0,67.28646720746858
5.0,PhD,Engineering,15.0,61.0,91.00714621763086
2.0,Master,Engineering,22.0,80.0,87.43849741430869
8.0,PhD,Engineering,17.0,41.0,87.52848712418239
12.0,Bachelor,HR,5.0,40.0,89.60384011733638
14.0,,Sales,25.0,89.0,118.58694904860162
6.0,,Engineering,10.0,20.0,70.99915001799195
2.0,,HR,22.0,24.0,81.7775262680006
12.0,,Engineering,18.0,31.0,99.88802640056079
5.0,Bachelor,Engineering,15.0,109.0,83.98653489424912
1.0,,Sales,20.0,65.0,85.11399915731961
12.0,PhD,HR,12.0,53.0,96.75089239764284
10.0,Master,Engineering,21.0,68.0,104.19786203200071
6.0,PhD,Sales,19.0,97.0,97.23372989320498
13.0,Bachelor,HR,26.0,109.0,115.63396579840234
12.0,PhD,Engineering,21.0,64.0,101.70180309760889
9.0,,HR,28.0,46.0,109.98324565170513
